Table-22: Advances Classified by Divisions/Districts and Area(Urban/Total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,(Amount in Crore Tk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Amount in Crore Tk),
,2018Q1,,2018Q1 Total,2018Q2,,2018Q2 Total,2018Q3,,2018Q3 Total,2018Q4,,2018Q4 Total,2019Q1,,2019Q1 Total,2019Q2,,2019Q2 Total,2019Q3,,2019Q3 Total,2019Q4,,2019Q4 Total,2020Q1,,2020Q1 Total,2020Q2,,2020Q2 Total,2020Q3,,2020Q3 Total,2020Q4,,2020Q4 Total,2021Q1,,2021Q1 Total,2021Q2,,2021Q2 Total,2021Q3,,2021Q3 Total,2021Q4,,2021Q4 Total,2022Q1,,2022Q1 Total,2022Q2,,2022Q2 Total,2022Q3,,2022Q3 Total,2022Q4,,2022Q4 Total,2023Q1,,2023Q1 Total,2023Q2,,2023Q2 Total,2023Q3,,2023Q3 Total,2023Q4,,2023Q4 Total,2024Q1*,,2024Q1* Total
District,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,
RANGAMATI,288.45,135.92,424.38,292.53,143.72,436.25,301.10,147.94,449.05,322.79,165.78,488.57,321.69,168.84,490.53,357.09,184.23,541.32,343.07,186.68,529.75,378.67,187.51,566.18,384.31,195.58,579.90,364.02,200.44,564.45,372.28,205.12,577.40,428.53,217.20,645.73,437.86,225.69,663.56,427.15,240.40,667.55,456.51,244.66,701.17,471.53,259.19,730.72,524.92,272.23,797.16,410.68,388.17,798.85,416.67,395.37,812.04,460.90,425.25,886.16,492.79,444.47,937.26,476.80,441.13,917.93,501.65,465.23,966.88,536.43,454.27,990.69,545.93,460.78,1006.71
DHAKA DIVISION,510002.01,34150.86,544152.87,531485.46,36097.02,567582.48,540593.07,38520.92,579113.99,569407.44,41015.53,610422.97,588418.19,41534.73,629952.92,602250.98,42215.84,644466.82,608442.48,42020.92,650463.40,634920.69,44473.26,679393.95,647888.89,46648.26,694537.14,668464.58,47232.84,715697.42,675131.89,48708.49,723840.38,691392.58,50491.41,741883.99,705963.26,53602.19,759565.45,721580.23,52790.97,774371.19,731827.29,54407.84,786235.13,759462.84,58237.02,817699.87,779035.23,61102.98,840138.21,853970.47,31239.58,885210.05,877646.11,31567.65,909213.76,912225.05,33410.24,945635.28,924205.94,33858.16,958064.10,945627.08,35366.63,980993.71,960517.74,36390.57,996908.30,1008557.43,37494.08,1046051.51,1023685.90,37769.76,1061455.67
DHAKA,483479.04,18713.45,502192.49,504189.52,20083.36,524272.87,513474.14,22486.35,535960.50,541084.79,24168.26,565253.05,559671.21,24671.99,584343.20,572391.40,24609.24,597000.64,578686.87,24582.28,603269.15,603975.17,26130.97,630106.14,616866.20,27992.45,644858.65,637186.35,28345.12,665531.47,642327.91,29525.14,671853.04,657269.85,29950.81,687220.65,672173.09,32851.43,705024.52,687077.28,31365.01,718442.29,697160.86,32116.94,729277.80,723432.07,35169.97,758602.03,742996.66,37421.95,780418.61,812030.11,10297.81,822327.92,835053.31,10528.92,845582.23,868125.07,11035.22,879160.28,879786.82,11139.26,890926.08,899664.75,11503.94,911168.70,912963.14,11712.82,924675.97,957363.18,12136.86,969500.05,971548.75,12090.30,983639.05
FARIDPUR,2534.54,713.69,3248.23,2536.50,705.00,3241.50,2588.27,705.87,3294.14,2732.36,748.36,3480.72,2779.01,745.93,3524.94,2928.21,807.17,3735.39,2884.30,770.53,3654.83,3053.23,797.54,3850.78,3069.18,807.97,3877.15,3041.61,821.17,3862.78,3141.89,827.54,3969.43,3306.63,869.30,4175.93,3224.62,882.31,4106.93,3225.95,912.89,4138.84,3290.96,931.75,4222.70,3507.94,986.08,4494.02,3622.98,1034.04,4657.02,3494.28,1283.59,4777.87,3596.02,1283.92,4879.94,3709.46,1405.61,5115.07,3791.28,1437.00,5228.28,3874.18,1451.25,5325.43,4000.16,1537.07,5537.24,4191.83,1564.50,5756.33,4227.74,1582.72,5810.45
GAZIPUR,3632.76,4007.02,7639.78,3579.77,4150.45,7730.23,3542.14,4205.87,7748.02,3671.99,4429.61,8101.59,3718.59,4539.13,8257.73,3933.10,4752.57,8685.67,3890.49,4777.40,8667.89,3976.51,4977.89,8954.40,4000.80,5056.18,9056.98,4054.18,5100.48,9154.66,4158.97,5220.08,9379.05,4336.28,5540.02,9876.30,4322.23,5646.00,9968.23,4407.07,5875.88,10282.95,4417.76,5978.05,10395.80,4702.93,6274.91,10977.84,4821.97,6493.17,11315.14,8899.13,3357.57,12256.69,9051.33,3401.91,12453.24,9438.17,3586.89,13025.06,9767.18,3674.48,13441.66,10217.41,3878.17,14095.58,10408.05,3985.12,14393.17,10794.88,4057.69,14852.57,11228.97,4276.67,15505.64
GOPALGANJ,623.73,364.56,988.29,676.17,387.54,1063.71,657.74,392.33,1050.07,749.45,436.27,1185.72,777.01,452.32,1229.33,878.81,516.74,1395.55,813.06,487.14,1300.21,925.73,524.02,1449.75,928.26,545.15,1473.41,910.33,560.20,1470.54,933.93,574.36,1508.28,1026.27,613.06,1639.33,1041.14,632.14,1673.28,1106.77,671.03,1777.79,1086.27,797.28,1883.55,1193.68,707.76,1901.44,1285.18,743.87,2029.04,1420.82,760.39,2181.21,1460.65,781.46,2242.12,1583.26,842.34,2425.60,1637.64,889.97,2527.61,1704.42,943.38,2647.81,1753.38,1010.07,2763.46,1852.15,1022.29,2874.44,1947.84,1056.92,3004.77
KISHOREGANJ,1496.63,853.84,2350.47,1515.81,888.75,2404.56,1470.64,892.34,2362.98,1562.22,925.00,2487.22,1546.10,975.16,2521.26,1636.08,1024.75,2660.83,1580.11,987.48,2567.59,1716.50,1047.73,2764.24,1646.06,1060.00,2706.05,1632.61,1083.97,2716.58,1679.24,1125.26,2804.51,1824.28,1223.24,3047.52,1805.40,1244.56,3049.96,1869.08,1313.08,3182.17,2005.76,1323.52,3329.28,2063.23,1399.22,3462.45,2156.72,1448.02,3604.74,2080.76,1777.82,3858.59,2100.82,1780.10,3880.92,2242.03,1908.82,4150.85,2224.19,1933.41,4157.60,2404.34,2050.27,4454.60,2387.47,2117.38,4504.84,2634.89,2164.44,4799.33,2568.71,2151.01,4719.73
MADARIPUR,720.80,542.51,1263.31,755.80,577.48,1333.28,698.85,564.18,1263.03,821.68,575.39,1397.07,797.97,571.13,1369.10,851.62,604.69,1456.31,789.92,590.20,1380.13,861.15,613.71,1474.86,930.80,633.24,1564.04,864.33,640.84,1505.16,957.00,662.72,1619.72,946.43,682.85,1629.28,939.41,690.47,1629.87,968.73,721.13,1689.86,958.74,725.61,1684.34,1082.94,756.65,1839.60,1114.72,768.70,1883.42,1174.55,803.03,1977.58,1221.24,793.65,2014.89,1288.57,838.81,2127.38,1325.52,844.80,2170.33,1348.20,897.63,2245.82,1378.96,913.88,2292.84,1469.74,955.67,2425.41,1478.47,959.76,2438.23
MANIKGANJ,640.30,504.83,1145.13,679.95,517.29,1197.23,667.25,503.65,1170.90,706.91,542.48,1249.39,707.79,557.70,1265.48,766.43,619.79,1386.22,742.61,587.70,1330.32,762.89,577.06,1339.95,767.32,587.74,1355.06,781.33,617.36,1398.69,779.51,638.16,1417.67,810.72,655.13,1465.84,835.17,670.84,1506.01,871.22,699.57,1570.79,868.71,698.62,1567.33,925.06,736.26,1661.32,1002.09,758.82,1760.90,820.37,1028.18,1848.55,823.53,1024.67,1848.20,865.90,1062.51,1928.41,916.70,1090.74,2007.45,967.09,1173.96,2141.05,967.87,1214.59,2182.46,1001.01,1243.43,2244.44,1034.23,1245.53,2279.76
MUNSHIGANJ,554.25,1197.56,1751.81,573.08,1205.60,1778.69,558.37,1173.57,1731.94,576.59,1189.17,1765.75,598.30,1209.59,1807.89,632.47,1241.32,1873.78,624.82,1219.82,1844.63,624.24,1284.58,1908.83,624.19,1296.34,1920.52,623.82,1291.81,1915.63,628.39,1301.17,1929.56,633.96,1526.25,2160.21,604.29,1502.33,2106.61,641.54,1449.25,2090.79,746.36,1784.30,2530.67,671.99,1514.65,2186.63,651.94,1543.07,2195.01,746.14,1641.38,2387.52,735.18,1637.03,2372.20,756.35,1717.59,2473.95,768.19,1725.07,2493.26,793.75,1844.17,2637.92,801.37,1867.07,2668.44,807.75,1914.90,2722.65,804.46,1955.02,2759.48
